,0
164,LMP - LICENCA MATERNIDADE PRORROGACAO PM
165,REC - PENA DE RECLUSAO
166,LTS - LICENCA TRATAMENTO SAUDE - EFETIVOS
167,ALT - AFASTAMENTO POR LUTO
168,LCA - LICENÇA PARA CASAMENTO
169,LAC - LICENCA ACOMPANHAMENTO FAMILIAR DOENTE ATÉ 30 DIAS
170,LPA - LICENCA PATERNIDADE
171,DS - DOACAO DE SANGUE
172,JE - JUSTICA ELEITORAL
173,EXL - EXAME DE LEGISLACAO
174,REX - REALIZACAO DE EXAMES
175,SUS - AFASTAMENTO POR SUSPENSAO
176,ACE - AFASTAMENTO CANDIDATURA ELEITORAL
177,MAT - LICENCA MATERNIDADE - SERVIDOR EFETIVO (180 DIAS)
270,LFF - LICENCA FALECIMENTO MEMBRO DA FAMILIA
271,LCS - LICENCA CASAMENTO
273,LPT - LICENCA PATERNIDADE
277,LDS - LICENCA DOACAO DE SANGUE
278,CES - CESSAO SEM ONUS
N2,"Transferência de empregado para outra empresa que tenha assumido os encargos trabalhistas, sem que tenha havido rescisao de contrato de trabalho."
279,PMO - PROCEDIMENTOS MEDICOS ODONTOLOGICOS
280,CTJ - COMPARECIMENTO TRIBUNAL DO JURI
284,CJ - CONVOCACAO JURI
285,PCS - PARTICIPACAO CURSOS/SEMINARIOS
286,CPA - COMPARECIMENTO PROCESSO ADMINISTRATIVO DISCIPLINAR
292,LA2 - LICENCA ACOMPANHAR FAMILIAR DOENTE CONTINUACAO DE 31 A 60 DIAS
293,LA3 - LICENCA ACAMPANHAR FAMILIA DOENTE - SEM CALCULO DE 61 A 120 DIAS
294,LMS - LICENCA MANDATO SINDICAL
295,AMS - AFASTAMENTO MOTIVO DE SAUDE PG PM
296,CCO - CESSAO COM ONUS PARA PREFEITURA
364,GES - AFASTAMENTO LEI 14.151 GESTANTE
367,DES - DESAPARECIMENTO
368,FAP - FOLGA APLICADORES PSS/CP
369,LP - LICENÇA PREMIO
373,teste
377,AFASTAMENTO SENTENÇA JUDICIAL
378,LICENÇA MATERNIDADE EFETIVO ADOÇAO
